district,Andaman_and_Nicobar,Andhra_Pradesh,Arunachal_Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Countries_in_Africa,Countries_in_America,Countries_in_Asia_beyond_India,Countries_in_Europe,Countries_in_Oceania,Dadra_and_Nagar_Haveli,Daman_and_Diu,Delhi,Elsewhere_in_the_district_of_enumeration,Goa,Gujarat,Haryana,Himachal_Pradesh,Jammu_and_Kashmir,Jharkhand,Karnataka,Kerala,Lakshadweep,Last_residence_elsewhere_in_India,Madhya_Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Pondicherry,Punjab,Rajasthan,Sikkim,States_in_India_beyond_the_state_of_enumeration,Tamil_Nadu,Total,Tripura,Uttar_Pradesh,Uttaranchal,West_Bengal,Within_the_state_of_enumeration_but_outside_the_place_of_enumeration
Satara,9,3466,6,73,881,33,598,22,32,428,126,1,9,33,192,1140182,199,3390,88,73,103,526,36451,944,0,1454900,2005,257982,26,16,2,1,1708,2,206,1816,5,56736,399,1455509,0,2606,124,746,1398164
Umaria,1,94,0,18,795,8,5660,0,0,128,1,0,0,0,44,89818,0,34,49,6,8,331,6,57,0,153082,51961,329,1,0,0,0,183,0,42,98,0,11303,29,153211,2,3126,31,351,141779
Prakasam,31,124091,5,14,122,1,70,2,4,360,8,3,0,0,42,663350,5,48,6,0,28,20,1010,381,0,793418,137,240,1,2,0,0,94,15,16,393,0,5977,3123,793795,1,69,6,97,787441
Nadia,90,215,59,3751,15145,57,328,15,26,503763,40,10,0,2,424,905344,5,222,156,60,209,6953,216,188,0,1221049,458,532,77,143,7,43,3309,0,294,473,45,38573,182,1724903,1391,3299,240,277132,1182476
Gondiya,1,879,1,42,519,21,11153,10,1,1886,0,0,1,0,187,290709,8,1245,221,19,37,267,77,95,0,419409,38786,71413,2,3,1,0,451,0,214,579,2,57287,134,421306,7,1480,41,814,362122
Karur,10,440,53,26,16,2,1,23,11,3203,14,0,1,0,73,162555,1,49,3,5,5,0,789,1224,1,259130,43,297,1,4,0,0,116,217,1,35,0,3610,92965,262381,4,53,0,140,255520
Chennai,1744,57957,111,835,3111,150,129,412,855,13346,440,97,27,7,6411,0,288,5284,591,145,447,228,23713,60353,14,921961,2037,14400,188,58,57,79,2116,11088,993,20003,48,223474,698487,937111,34,3966,113,6749,698487
Karimganj,1,17,96,23428,857,2,1,2,0,15255,1,0,0,0,28,172701,1,4,18,7,6,22,57,23,0,209070,20,21,149,946,151,308,48,26,62,294,0,12941,30,224328,8571,357,7,811,196129
Jammu,27,1438,116,870,6241,801,10442,15,20,13353,38,1,0,5,2581,328179,16,656,3578,4388,138410,660,776,925,0,553835,7466,1873,73,64,17,52,2660,2,23777,2902,33,87246,1132,567264,36,9421,1929,2289,466589
Jaintia_Hills,0,6,15,1724,475,0,3,0,1,586,1,0,0,0,3,23469,3,1,7,0,2,216,3,11,0,28546,1,7,86,1825,44,6,4,0,15,135,4,3252,2,29134,191,123,0,165,25294
Dhamtari,0,145,1,903,280,32,70947,0,4,498,0,0,0,0,68,145938,0,307,251,4,30,176,24,60,0,226336,2180,1434,1,3,0,0,1552,1,178,641,0,9451,47,226838,1,800,31,301,216885
Mathura,17,296,29,592,3883,102,433,32,20,1741,29,5,2,0,4407,267770,15,804,23871,203,176,522,146,335,0,546202,5774,1352,54,51,0,2,915,6,1156,55443,8,109382,234,548029,114,169050,1687,6753,436820
Bhind,0,143,3,47,423,2,616,0,0,46,2,0,0,0,371,253199,0,286,83,11,21,55,10,52,0,398999,64723,433,0,1,0,1,34,0,232,1170,1,81077,12,399047,2,76561,57,450,317922
Muktsar,0,19,0,40,1899,224,56,1,14,8495,5,1,0,0,602,113575,4,65,14992,296,93,206,26,135,0,265306,209,194,2,0,0,0,306,2,108815,14906,0,42916,27,273822,0,7961,328,324,222390
Panchkula,18,522,21,509,7575,46954,626,67,116,4608,84,4,0,0,5150,37717,28,440,51266,17493,1585,1251,325,327,0,263524,1281,1438,28,71,3,47,583,9,41139,2810,43,174541,1198,268403,9,36567,4528,1963,88983
Varanasi,1,402,34,330,21805,42,1136,35,32,2306,32,114,0,0,751,514463,11,726,397,123,133,5307,194,424,0,722931,1843,1249,67,40,12,15,474,4,758,1083,12,44194,379,725450,55,164274,928,5459,678737
Osmanabad,8,1386,1,20,124,6,69,3,1,47,2,3,0,0,37,316662,31,467,41,38,51,51,15813,67,0,492616,244,156256,1,0,2,0,17,0,54,535,4,19698,114,492672,1,355,7,154,472918
Thoothukkudi,12,258,3,13,46,6,0,10,9,1522,2,1,0,0,49,310952,5,47,11,0,8,6,190,1243,3,372980,34,445,1,0,0,1,19,74,17,45,0,2669,59359,374524,1,78,6,48,370311
Nalgonda,20,154046,5,33,1679,4,37,2,7,270,2,12,0,0,37,896046,0,187,11,9,37,107,783,688,3,1058628,155,1181,2,6,0,1,1256,3,73,374,1,8536,1502,1058921,7,199,1,135,1050092
Bharuch,12,832,5,935,8905,80,361,105,35,716,73,3,33,80,336,367991,53,139675,425,219,384,1140,718,2497,0,577810,5378,22105,160,4,0,0,948,15,551,6043,4,70144,799,578742,157,14443,664,1858,507666
Bathinda,16,572,35,786,6893,949,457,18,32,3382,12,5,0,1,2040,197220,44,614,31757,1682,1006,318,364,370,0,450189,917,1262,19,56,0,21,456,6,168714,15586,38,84255,424,453638,24,13846,1993,1703,365934
Sant_Ravidas_Nagar_Bhadohi,0,15,0,34,3378,0,831,12,5,207,4,4,0,0,85,191189,1,112,58,8,23,700,16,157,0,322535,1778,467,0,1,2,1,167,0,69,149,0,9033,28,322767,4,122313,77,872,313502
Chhatarpur,0,101,1,43,409,44,1041,9,1,101,1,0,0,0,710,263525,3,66,130,50,37,188,48,67,0,411724,78925,371,5,0,0,3,137,0,448,204,1,69274,95,411836,3,64746,93,230,342450
Sawai_Madhopur,0,52,0,14,580,18,20,58,6,208,1,14,0,1,598,190948,2,568,412,29,15,123,18,113,0,302972,5426,345,5,1,2,1,46,13,336,97796,0,14228,42,303259,1,5006,102,339,288744
North_Twenty_Four_Parganas,322,4100,371,13757,168715,359,2422,87,193,715019,184,15,9,10,3651,1662381,74,1717,1483,189,741,27682,1067,1043,3,3029987,2960,3369,202,924,90,327,22658,17,4043,5915,178,329894,1620,3745485,5278,53274,1324,1037712,2700093
Nayagarh,1,76,0,7,78,4,29,0,0,24,0,1,0,0,10,212225,0,16,19,3,81,69,5,19,0,256168,25,17,1,0,0,2,43010,2,11,87,0,933,38,256193,1,59,0,273,255235
Tiruchirappalli,76,2048,31,175,240,35,9,65,68,14880,23,10,1,0,462,418778,20,428,31,11,73,37,3040,7810,6,713151,393,1346,13,11,11,23,228,2012,143,879,9,20486,273887,728197,12,499,8,366,692665
Purba_Champaran,0,28,8,589,127343,16,23,10,26,35501,7,9,0,2,203,845667,1,232,137,12,23,2987,31,52,0,982044,127,133,11,6,7,29,76,1,198,240,5,9034,28,1017597,4,2492,19,1314,973010
Pulwama,0,25,2,14,102,8,2,0,0,7,1,0,0,0,11,109628,6,20,71,33,11531,32,13,33,0,122317,53,201,0,4,1,4,28,0,66,57,4,1158,17,122325,5,186,19,141,121159
Mahbubnagar,16,99917,12,8,708,3,11,1,11,115,4,1,0,0,27,838671,27,246,38,20,19,46,20660,310,0,965819,95,2085,1,3,0,0,1027,2,31,373,0,27231,793,965951,1,539,7,123,938588
Anantapur,21,87644,7,34,217,23,72,18,22,238,41,7,2,1,122,702434,17,147,242,31,61,19,91827,1083,0,890962,169,908,2,3,0,3,229,12,54,989,15,100884,3855,891288,1,339,9,370,790078
Bargarh,4,5506,2,46,2049,16,22461,17,3,187,0,3,0,0,55,300181,0,289,381,9,19,1107,62,96,0,426279,636,156,2,2,11,0,91357,4,118,327,3,34741,129,426489,0,480,6,765,391538
Mokokchung,1,27,39,2138,1031,5,7,1,15,352,2,0,0,0,20,18554,2,60,25,7,15,285,7,74,0,25726,18,31,133,24,12,2057,85,5,13,147,3,5115,66,26096,40,309,180,306,20611
Sonipat,0,180,14,221,11126,746,9983,5,9,9064,13,0,12,7,35431,168572,16,193,147527,801,183,504,64,107,0,439688,1369,561,6,6,1,4,395,2,5012,4675,2,123589,97,448779,0,47091,2347,2433,316099
Jind,0,90,2,78,6734,464,137,4,6,4223,8,1,1,0,2648,149630,0,111,201559,239,98,152,32,42,0,386791,337,199,1,1,1,2,131,0,10358,3304,1,35602,45,391033,3,9058,608,725,351189
Ranchi,44,1179,50,890,137027,130,2476,36,54,2602,39,11,2,2,923,446368,28,1926,863,230,444,120816,420,1270,2,770015,1207,1289,102,77,37,50,4966,10,1634,2596,29,202831,495,772767,83,10805,503,31042,567184
Pithoragarh,4,40,10,153,1102,24,106,4,2,4642,12,1,0,0,427,130926,7,101,320,328,320,290,61,84,0,157795,184,260,52,17,16,103,88,1,267,206,20,10223,68,162456,15,5223,16646,326,147572
Uttara_Kannada,9,2926,299,128,583,16,35,37,35,4947,197,9,3,3,290,400709,4010,695,135,1045,762,205,124696,4008,0,556032,411,7880,89,13,9,8,552,20,192,1352,52,30627,2802,561257,4,1102,298,691,525405
